webpage,id,slug,title,state,sharing,createdAt,updatedAt,licence,licence_notes,publisher,featured_dataset,author,author_email,maintainer,maintainer_email,update_frequency,odi-certificate,tags,topic-business-and-economy,topic-championing-london,topic-crime-and-community-safety,topic-demographics,topic-education,topic-employment-and-skills,topic-environment,topic-health,topic-housing,topic-art-and-culture,topic-london-2012,topic-planning,topic-sport,topic-transparency,topic-transport,topic-young-people,topic-income-poverty-welfare,parent,london_smallest_geography,london_bounding_box
https://data.london.gov.uk/dataset/social-integration-by-borough,a137defa-2677-483d-9a04-0ab1cdb20836,social-integration-by-borough,Social Integration by Borough,active,public,14-Jun-18,10-Jun-19,UK Open Government Licence (OGL v3),,Greater London Authority (GLA),,Mayor's Office for Policing and Crime (MOPAC),,Greater London Authority,datastore@london.gov.uk,Annually,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/model-based-unemployment-estimates,8874874e-4ee6-48a9-9351-e5f220138ceb,model-based-unemployment-estimates,Model Based Unemployment Estimates,active,public,24-Sep-13,07-Jun-19,UK Open Government Licence (OGL v2),,Office for National Statistics (ONS),,Office for National Statistics,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Quarterly,https://certificates.theodi.org/datasets/23301/certificate,"gender, employment-status, economic-inactivity, employment, unemployment, economic-activity",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2b9d2485-1e5a-4b9b-922c-a2a4d42a864a,Local Authority,Greater London
https://data.london.gov.uk/dataset/licensed-vehicles-type-0,496a2cbd-f659-4994-8113-9f833021119d,licensed-vehicles-type-0,"Licensed Vehicles - Type, Borough",active,public,14-Apr-14,06-Jun-19,UK Open Government Licence (OGL v2),,Department for Transport,,Department for Transport,,Greater London Authority,datastore@london.gov.uk,Annually,https://certificates.theodi.org/datasets/23195/certificate,"southwark, hammersmith-and-fulham, bromley, brent, camden, barking-and-dagenham, islington, enfield, waltham-forest, lewisham, traffic, lambeth, wandsworth, richmond-upon-thames, car-ownership, hounslow, vehicle, kingston-upon-thames, hillingdon, ealing, croydon, merton, bexley, barnet, kensington-and-chelsea, vehicles, hackney, licensed, haringey, tower-hamlets, havering, city-of-london, westminster, harrow, transport, redbridge, greenwich, sutton, newham",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,e8925d12-9113-4577-81b1-6220f53bf97a,Local Authority,Greater London
https://data.london.gov.uk/dataset/net-additional-dwellings-borough,66983428-1eae-4046-9b05-b10c36ec6b21,net-additional-dwellings-borough,"Total Number of Dwellings and Net Additional Dwellings, Borough",active,public,04-Dec-13,06-Jun-19,UK Open Government Licence (OGL v2),,"Ministry of Housing, Communities & Local Government (MHCLG)",,"Ministry of Housing, Communities and Local Government",,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Annually,https://certificates.theodi.org/datasets/23226/certificate,"supply, stock, homes, home, housing, new, total, household, kingston-upon-thames, havering, brent, newham, ealing, hammersmith-and-fulham, greenwich, richmond-upon-thames, westminster, hillingdon, tower-hamlets, islington, bexley, enfield, southwark, hounslow, croydon, lambeth, sutton, wandsworth, kensington-and-chelsea, barnet, merton, lewisham, hackney, camden, haringey, city-of-london, bromley, redbridge, harrow, waltham-forest, barking-and-dagenham",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8070677a-2a67-4103-9cf6-d7764d1a9593,Local Authority,Greater London
https://data.london.gov.uk/dataset/london-plan-eip-2019,14d34f8e-a3fd-4207-bf14-aa196c09baa6,london-plan-eip-2019,New London Plan Examination in Public (EiP) 2019,active,public,11-Feb-19,05-Jun-19,UK Open Government Licence (OGL v3),,Greater London Authority (GLA),,Greater London Authority,datastore@london.gov.uk,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/london-underground-performance-reports,3e9e5e28-d651-4a1b-af39-0fbef4b61bec,london-underground-performance-reports,London Underground Performance Reports,active,public,29-Aug-14,05-Jun-19,UK Open Government Licence (OGL v2),,Transport for London (TfL),,Transport for London,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Ad hoc,https://certificates.theodi.org/datasets/22747/certificate,"performance, trains, london-undergound, lu, tube-stations, tube, reporting, almanac, underground, entries, usage, exits, metro, subway, counts, reliability, delays, transport",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9a1c2a36-e5b8-459e-840a-7835f925e06c,Greater London,Greater London 
https://data.london.gov.uk/dataset/lfb-payments-over-f250-2019-20,daa96964-4718-4b2c-9aeb-849c6bfbbf74,lfb-payments-over-f250-2019-20,LFB payments over £250 - 2019/20,active,public,08-May-19,03-Jun-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,David Wyatt,david.wyatt@london-fire.gov.uk,David Wyatt,david.wyatt@london-fire.gov.uk,Monthly,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Greater London,
https://data.london.gov.uk/dataset/pentavia-retail-park-public-consultation-documents-31-may---3-july-2019,cebec6be-b8bf-4d7d-ab00-ad58e5a9eba0,pentavia-retail-park-public-consultation-documents-31-may---3-july-2019,Pentavia Retail Park public consultation documents 31 May - 3 July 2019,active,public,31-May-19,31-May-19,Not Specified,,Greater London Authority (GLA),,GLA,pentaviaretailpark@london.gov.uk,GLA,pentaviaretailpark@london.gov.uk,One off,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/pentavia-retail-park-public-consultation-documents,51f40cf8-4b52-4923-bd1b-cc4832af0026,pentavia-retail-park-public-consultation-documents,Pentavia Retail Park public consultation documents 27 March - 6 May 2019,active,public,27-Mar-19,31-May-19,Not Specified,,Greater London Authority (GLA),,pentaviaretail@london.gov.uk,pentaviaretail@london.gov.uk,GLA,pentaviaretail@london.gov.uk,One off,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/london-economy-today,263d2c21-9be2-4603-a75d-8027d914601c,london-economy-today,London's Economy Today,active,public,24-Oct-14,30-May-19,UK Open Government Licence (OGL v2),,Greater London Authority (GLA),,GLA Economics,Gordon.Douglass@london.gov.uk,GLA Economics,Gordon.Douglass@london.gov.uk,Monthly,https://certificates.theodi.org/datasets/22772/certificate,"LET, GLAE, GLA Economics, economy, unemployment, house prices, passengers, allowance, jobseekers, jsa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/lfb-financial-and-performance-reporting-2018-19,b9d666ea-e860-45f0-93ad-e2529d33d3d6,lfb-financial-and-performance-reporting-2018-19,LFB financial and performance reporting 2018/19,active,public,21-Aug-18,29-May-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,David Wyatt,david.wyatt@london-fire.gov.uk,David Wyatt,david.wyatt@london-fire.gov.uk,Quarterly,,"budget, performance, monitoring, LFB, LFC, GLA, mayor",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Greater London,
https://data.london.gov.uk/dataset/isle-of-dogs-and-south-poplar-oapf,d28052bc-0923-4605-b874-d86bfd78c627,isle-of-dogs-and-south-poplar-oapf,Isle of Dogs and South Poplar OAPF,active,public,09-May-18,28-May-19,Not Specified,,Greater London Authority (GLA),,GLA,oapf@london.gov.uk,GLA,oapf@london.gov.uk,One off,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/gla-poll-results-2019,c9aabd15-c36e-40d0-a149-5df9c3501612,gla-poll-results-2019,GLA Poll Results 2019,active,public,01-Apr-19,24-May-19,UK Open Government Licence (OGL v3),,Greater London Authority (GLA),,Greater London Authority (GLA),datastore@london.gov.uk,Greater London Authority (GLA),datastore@london.gov.uk,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/state-pension-recipients-borough,c53d7300-ae6b-4ee9-9caa-470510cc2627,state-pension-recipients-borough,"State Pension Recipients, Borough",active,public,05-Sep-14,23-May-19,Creative Commons Attribution,,Department for Work and Pensions,,,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,,,"benefits, retirement, state-pension, dwp",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,,Greater London
https://data.london.gov.uk/dataset/economic-inactivity-rate-broad-ethnic-group-working-age,cbc3e78d-332b-48f0-8062-f7980714fa71,economic-inactivity-rate-broad-ethnic-group-working-age,Economic Inactivity Rate by Broad Ethnic Group (working-age),active,public,16-May-14,23-May-19,UK Open Government Licence (OGL v2),,Office for National Statistics (ONS),,Office for National Statistics,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Annually,https://certificates.theodi.org/datasets/23172/certificate,"employment-status, unemployment, ethnic-group, economic-inactivity, economic-activity, gender, employment",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2b9d2485-1e5a-4b9b-922c-a2a4d42a864a,Local Authority,Greater London
https://data.london.gov.uk/dataset/number-bicycle-hires,ca1765ce-250e-4a5c-90d1-a7f59aa4d9fe,number-bicycle-hires,Number of Bicycle Hires,active,public,29-Aug-14,23-May-19,UK Open Government Licence (OGL v2),,Transport for London (TfL),,Transport for London,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Monthly,https://certificates.theodi.org/datasets/22733/certificate,"annually, cycle-hire, monthly, boris-bikes, daily, scheme, bike, hire",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9a1c2a36-e5b8-459e-840a-7835f925e06c,Greater London,
https://data.london.gov.uk/dataset/uk-house-price-index,c722d9ed-dc9d-4e8e-8ce8-b0f3bd0bc948,uk-house-price-index,UK House Price Index,active,public,30-Mar-17,22-May-19,UK Open Government Licence (OGL v3),,Land Registry,,General Statistics,,General Statistics,,Monthly,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ad208def-2469-45ac-a160-ab673cc271fa,,
https://data.london.gov.uk/dataset/index-private-housing-rental-prices-region,1a3f6e9a-4674-4c76-94e4-39223a35bf4d,index-private-housing-rental-prices-region,"Index of Private Housing Rental Prices, Region",active,public,29-Jul-14,22-May-19,UK Open Government Licence (OGL v2),,Office for National Statistics (ONS),,Office for National Statistics,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Monthly,https://certificates.theodi.org/datasets/22768/certificate,"housing, private, home, rent, rents",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2b9d2485-1e5a-4b9b-922c-a2a4d42a864a,Region,Great Britain
https://data.london.gov.uk/dataset/employment-and-support-allowance-claimants,aafd8c63-5d60-4961-b3d4-dc7d15970f19,employment-and-support-allowance-claimants,Employment and Support Allowance Claimants,active,public,05-Sep-14,22-May-19,UK Open Government Licence (OGL v2),,Department for Work and Pensions,,Department for Work and Pensions,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Quarterly,https://certificates.theodi.org/datasets/22877/certificate,"benefits, employment",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,Greater London,Local Authority
https://data.london.gov.uk/dataset/pension-credit-claimants-borough,33da0337-b798-4aa5-babd-1c8866e67bc3,pension-credit-claimants-borough,"Pension Credit Claimants, Borough",active,public,05-Sep-14,22-May-19,Creative Commons Attribution,,Department for Work and Pensions,,,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,,,"dwp, benefits, retirement, pension",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,,Greater London
https://data.london.gov.uk/dataset/incapacity-benefit-claimants,21b7e97b-310f-4cde-be7d-bd17b38874b1,incapacity-benefit-claimants,"Incapacity Benefit Claimants, Borough",active,public,01-Oct-14,22-May-19,UK Open Government Licence (OGL v2),,Department for Work and Pensions,,Department for Work and Pensions,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Quarterly,https://certificates.theodi.org/datasets/22831/certificate,"disability, benefits",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,Local Authority,
https://data.london.gov.uk/dataset/income-support-claimants-borough,746f9714-02c2-480f-b8e7-1b51c0121b9b,income-support-claimants-borough,"Income Support Claimants, Borough",active,public,05-Sep-14,22-May-19,UK Open Government Licence (OGL v2),,Department for Work and Pensions,,Department for Work and Pensions,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Quarterly,https://certificates.theodi.org/datasets/22879/certificate,"poverty, benefits, income",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,Local Authority,Greater London
https://data.london.gov.uk/dataset/job-seekers-allowance-claimants-borough,c74bbea5-e8ca-45f5-b242-797567453f60,job-seekers-allowance-claimants-borough,"Job Seekers Allowance Claimants, Borough",active,public,05-Sep-14,22-May-19,UK Open Government Licence (OGL v2),,Department for Work and Pensions,,Department for Work and Pensions,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Quarterly,https://certificates.theodi.org/datasets/22878/certificate,"claimants, job-seekers-allowance, benefits, labour-market, unemployment",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0b8c2363-5766-42fb-9191-1f1f6dd0c74d,Local Authority,Local Authority
https://data.london.gov.uk/dataset/employment-rates,6e082e5b-c111-455f-bff1-d41bb6f2bdb7,employment-rates,Employment Rates,active,public,18-Sep-14,22-May-19,UK Open Government Licence (OGL v2),,Office for National Statistics (ONS),,Office for National Statistics,,Opinion Research and General Statistics (GLA),datastore@london.gov.uk,Monthly,https://certificates.theodi.org/datasets/22745/certificate,"working, economic-activity, economic-inactivity, employment, employment-status, jobs, percentages, work, age, rates, gender",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2b9d2485-1e5a-4b9b-922c-a2a4d42a864a,Region,United Kingdom
