#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2005-01-01 00:00:00+00:00 2017-06-26 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SUX,2005-01-01 22:52,-96.3795,42.3917,30.92,30.02,96.41,330.00,11.00,0.01,30.05,1019.20,6.00,M,BKN,OVC,   ,M,500.00,1000.00,M,M,FZDZ BR,M,M,M,M,M,M,21.10,METAR KSUX 012252Z 33011KT 6SM FZDZ BR BKN005 OVC010 M01/M01 A3005 RMK AO2 CIG 003V008 SLP192 P0001 T10061011
SUX,2005-01-01 23:52,-96.3795,42.3917,30.92,28.04,88.92,330.00,12.00,M,30.07,1019.70,8.00,M,BKN,BKN,OVC,M,700.00,1100.00,2100.00,M,FZDZ,M,M,M,M,M,M,20.63,METAR KSUX 012352Z 33012KT 8SM FZDZ BKN007 BKN011 OVC021 M01/M02 A3007 RMK AO2 CIG 005V010 SLP197 P0000 60001 T10061022 10000 21028 53019
SUX,2005-01-02 00:52,-96.3795,42.3917,30.02,26.96,88.22,320.00,13.00,M,30.10,1020.80,8.00,M,BKN,OVC,   ,M,700.00,2200.00,M,M,M,M,M,M,M,M,M,19.03,METAR KSUX 020052Z 32013KT 8SM BKN007 OVC022 M01/M03 A3010 RMK AO2 FZDZE48 CIG 004V010 SLP208 P0000 T10111028
SUX,2005-01-02 01:52,-96.3795,42.3917,28.04,24.98,88.12,330.00,19.00,M,30.12,1021.30,10.00,M,BKN,OVC,   ,M,700.00,3900.00,M,M,M,M,M,M,M,M,M,14.20,METAR KSUX 020152Z 33019KT 10SM BKN007 OVC039 M02/M04 A3012 RMK AO2 SLP213 T10221039
SUX,2005-01-02 02:52,-96.3795,42.3917,26.06,21.92,84.10,310.00,14.00,M,30.16,1022.80,10.00,M,FEW,OVC,   ,M,1300.00,2600.00,M,M,M,M,M,M,M,M,M,13.51,METAR KSUX 020252Z 31014KT 10SM FEW013 OVC026 M03/M06 A3016 RMK AO2 SLP228 60000 T10331056 53028
SUX,2005-01-02 03:52,-96.3795,42.3917,24.98,19.94,80.87,330.00,16.00,M,30.18,1023.60,10.00,M,FEW,OVC,   ,M,1300.00,2400.00,M,M,M,M,M,M,M,M,M,11.27,METAR KSUX 020352Z 33016KT 10SM FEW013 OVC024 M04/M07 A3018 RMK AO2 SLP236 T10391067
SUX,2005-01-02 04:52,-96.3795,42.3917,24.08,19.04,80.80,320.00,17.00,M,30.21,1024.50,10.00,M,OVC,   ,   ,M,1500.00,M,M,M,M,M,M,M,M,M,M,9.70,METAR KSUX 020452Z 32017KT 10SM OVC015 M04/M07 A3021 RMK AO2 SLP245 T10441072
SUX,2005-01-02 05:52,-96.3795,42.3917,21.92,17.96,84.47,340.00,12.00,M,30.23,1025.30,10.00,M,OVC,   ,   ,M,1300.00,M,M,M,M,M,M,M,M,M,M,9.17,METAR KSUX 020552Z 34012KT 10SM OVC013 M06/M08 A3023 RMK AO2 SLP253 60000 T10561078 11006 21056 400001056 51025
SUX,2005-01-02 06:52,-96.3795,42.3917,21.02,15.98,80.55,340.00,15.00,M,30.25,1025.90,10.00,M,OVC,   ,   ,M,1500.00,M,M,M,M,M,M,M,M,M,M,6.55,METAR KSUX 020652Z AUTO 34015KT 10SM OVC015 M06/M09 A3025 RMK AO2 SLP259 T10611089
SUX,2005-01-02 07:52,-96.3795,42.3917,19.04,14.00,80.38,330.00,12.00,M,30.27,1026.50,10.00,M,BKN,   ,   ,M,1700.00,M,M,M,M,M,M,M,M,M,M,5.51,METAR KSUX 020752Z AUTO 33012KT 10SM BKN017 M07/M10 A3027 RMK AO2 SLP265 T10721100
SUX,2005-01-02 08:52,-96.3795,42.3917,17.06,12.02,80.22,320.00,9.00,M,30.30,1027.80,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,4.94,METAR KSUX 020852Z AUTO 32009KT 10SM CLR M08/M11 A3030 RMK AO2 SLP278 T10831111 53024
SUX,2005-01-02 09:52,-96.3795,42.3917,15.98,10.04,76.98,330.00,8.00,M,30.31,1028.20,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,4.38,METAR KSUX 020952Z AUTO 33008KT 10SM CLR M09/M12 A3031 RMK AO2 SLP282 T10891122
SUX,2005-01-02 10:52,-96.3795,42.3917,14.00,8.06,76.79,300.00,6.00,M,30.34,1029.20,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,3.85,METAR KSUX 021052Z AUTO 30006KT 10SM CLR M10/M13 A3034 RMK AO2 SLP292 T11001133
SUX,2005-01-02 11:52,-96.3795,42.3917,12.92,8.06,80.52,320.00,11.00,M,30.35,1029.70,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,-1.65,METAR KSUX 021152Z AUTO 32011KT 10SM CLR M11/M13 A3035 RMK AO2 SLP297 70001 T11061133 11056 21106 53017
SUX,2005-01-02 12:52,-96.3795,42.3917,12.92,6.98,76.68,340.00,10.00,M,30.37,1030.30,10.00,M,FEW,   ,   ,M,10000.00,M,M,M,M,M,M,M,M,M,M,-0.96,METAR KSUX 021252Z AUTO 34010KT 10SM FEW100 M11/M14 A3037 RMK AO2 SLP303 T11061139
SUX,2005-01-02 13:52,-96.3795,42.3917,12.02,6.98,79.79,340.00,7.00,M,30.36,1030.10,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,0.42,METAR KSUX 021352Z AUTO 34007KT 10SM CLR M11/M14 A3036 RMK AO2 SLP301 T11111139
SUX,2005-01-02 14:52,-96.3795,42.3917,14.00,8.96,79.96,320.00,7.00,M,30.39,1031.10,10.00,M,BKN,   ,   ,M,10000.00,M,M,M,M,M,M,M,M,M,M,2.84,METAR KSUX 021452Z AUTO 32007KT 10SM BKN100 M10/M13 A3039 RMK AO2 SLP311 T11001128 53012
SUX,2005-01-02 15:52,-96.3795,42.3917,15.98,10.04,76.98,340.00,8.00,M,30.41,1031.60,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,4.38,METAR KSUX 021552Z 34008KT 10SM CLR M09/M12 A3041 RMK AO2 SLP316 T10891122
SUX,2005-01-02 16:52,-96.3795,42.3917,17.06,12.02,80.22,340.00,6.00,M,30.41,1031.80,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,7.54,METAR KSUX 021652Z 34006KT 10SM CLR M08/M11 A3041 RMK AO2 SLP318 T10831111
SUX,2005-01-02 17:52,-96.3795,42.3917,19.94,12.92,73.77,340.00,4.00,M,30.41,1031.70,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,13.34,METAR KSUX 021752Z 34004KT 10SM CLR M07/M11 A3041 RMK AO2 SLP317 T10671106 11067 21111 50006
SUX,2005-01-02 18:52,-96.3795,42.3917,21.92,15.98,77.54,M,4.00,M,30.39,1031.00,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,15.65,METAR KSUX 021852Z VRB04KT 10SM CLR M06/M09 A3039 RMK AO2 SLP310 T10561089
SUX,2005-01-02 19:52,-96.3795,42.3917,24.08,17.06,74.20,10.00,6.00,M,30.37,1030.20,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,15.99,METAR KSUX 021952Z 01006KT 10SM CLR M04/M08 A3037 RMK AO2 SLP302 T10441083
SUX,2005-01-02 20:52,-96.3795,42.3917,26.06,17.96,71.04,360.00,6.00,M,30.36,1030.00,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,18.38,METAR KSUX 022052Z 36006KT 10SM CLR M03/M08 A3036 RMK AO2 SLP300 T10331078 56016
SUX,2005-01-02 21:52,-96.3795,42.3917,26.06,17.96,71.04,10.00,7.00,M,30.36,1030.10,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,17.54,METAR KSUX 022152Z 01007KT 10SM CLR M03/M08 A3036 RMK AO2 SLP301 T10331078
SUX,2005-01-02 22:52,-96.3795,42.3917,24.08,17.96,77.14,10.00,7.00,M,30.37,1030.40,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,15.13,METAR KSUX 022252Z 01007KT 10SM CLR M04/M08 A3037 RMK AO2 SLP304 T10441078
SUX,2005-01-02 23:52,-96.3795,42.3917,23.00,17.96,80.71,20.00,4.00,M,30.38,1030.90,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,16.91,METAR KSUX 022352Z 02004KT 10SM CLR M05/M08 A3038 RMK AO2 SLP309 T10501078 11033 21067 53007
SUX,2005-01-03 00:52,-96.3795,42.3917,23.00,17.06,77.64,20.00,4.00,M,30.41,1031.90,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,16.91,METAR KSUX 030052Z 02004KT 10SM CLR M05/M08 A3041 RMK AO2 SLP319 T10501083
SUX,2005-01-03 01:52,-96.3795,42.3917,21.92,17.06,81.25,30.00,5.00,M,30.40,1031.40,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,14.42,METAR KSUX 030152Z 03005KT 10SM CLR M06/M08 A3040 RMK AO2 SLP314 T10561083
SUX,2005-01-03 02:52,-96.3795,42.3917,21.92,17.06,81.25,10.00,7.00,M,30.40,1031.40,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,12.49,METAR KSUX 030252Z 01007KT 10SM CLR M06/M08 A3040 RMK AO2 SLP314 T10561083 51004
SUX,2005-01-03 03:52,-96.3795,42.3917,21.92,17.06,81.25,20.00,5.00,M,30.42,1032.10,10.00,M,SCT,   ,   ,M,8000.00,M,M,M,M,M,M,M,M,M,M,14.42,METAR KSUX 030352Z 02005KT 10SM SCT080 M06/M08 A3042 RMK AO2 SLP321 T10561083
SUX,2005-01-03 04:52,-96.3795,42.3917,21.92,17.06,81.25,20.00,7.00,M,30.42,1032.10,10.00,M,SCT,   ,   ,M,8500.00,M,M,M,M,M,M,M,M,M,M,12.49,METAR KSUX 030452Z 02007KT 10SM SCT085 M06/M08 A3042 RMK AO2 SLP321 T10561083
SUX,2005-01-03 05:52,-96.3795,42.3917,21.92,15.98,77.54,50.00,6.00,M,30.42,1032.00,10.00,M,OVC,   ,   ,M,8000.00,M,M,M,M,M,M,M,M,M,M,13.39,METAR KSUX 030552Z 05006KT 10SM OVC080 M06/M09 A3042 RMK AO2 SLP320 T10561089 11050 21056 410331111 50007
SUX,2005-01-03 06:52,-96.3795,42.3917,21.02,17.06,84.41,40.00,7.00,M,30.41,1031.50,10.00,M,OVC,   ,   ,M,7000.00,M,M,M,M,M,M,M,M,M,M,11.40,METAR KSUX 030652Z 04007KT 10SM OVC070 M06/M08 A3041 RMK AO2 SLP315 T10611083
SUX,2005-01-03 07:52,-96.3795,42.3917,21.02,15.98,80.55,30.00,9.00,M,30.38,1030.70,10.00,M,OVC,   ,   ,M,6500.00,M,M,M,M,M,M,M,M,M,M,9.86,METAR KSUX 030752Z 03009KT 10SM OVC065 M06/M09 A3038 RMK AO2 SLP307 T10611089
SUX,2005-01-03 08:52,-96.3795,42.3917,19.94,14.00,77.35,30.00,9.00,M,30.37,1030.20,10.00,M,OVC,   ,   ,M,5000.00,M,M,M,M,M,M,M,M,M,M,8.52,METAR KSUX 030852Z 03009KT 10SM OVC050 M07/M10 A3037 RMK AO2 SLP302 T10671100 58017
SUX,2005-01-03 09:52,-96.3795,42.3917,19.94,14.00,77.35,30.00,10.00,M,30.38,1030.60,10.00,M,OVC,   ,   ,M,5000.00,M,M,M,M,M,M,M,M,M,M,7.84,METAR KSUX 030952Z 03010KT 10SM OVC050 M07/M10 A3038 RMK AO2 SLP306 T10671100
SUX,2005-01-03 10:52,-96.3795,42.3917,17.96,10.94,73.56,40.00,11.00,M,30.41,1031.80,10.00,M,OVC,   ,   ,M,5000.00,M,M,M,M,M,M,M,M,M,M,4.72,METAR KSUX 031052Z 04011KT 10SM OVC050 M08/M12 A3041 RMK AO2 SLP318 T10781117
SUX,2005-01-03 11:52,-96.3795,42.3917,17.06,10.94,76.47,20.00,9.00,M,30.39,1030.80,10.00,M,BKN,OVC,   ,M,4700.00,6000.00,M,M,M,M,M,M,M,M,M,4.94,METAR KSUX 031152Z 02009KT 10SM BKN047 OVC060 M08/M12 A3039 RMK AO2 UPB37E48 SLP308 P0000 60000 T10831117 11056 21083 50005
SUX,2005-01-03 12:52,-96.3795,42.3917,17.60,10.40,72.93,20.00,10.00,M,30.39,M,10.00,M,OVC,   ,   ,M,4900.00,M,M,M,M,M,M,M,M,M,M,4.91,METAR KSUX 031252Z 02010KT 10SM OVC049 M08/M12 A3039
SUX,2005-01-03 13:52,-96.3795,42.3917,15.98,8.96,73.34,20.00,7.00,M,30.42,1032.10,10.00,M,OVC,   ,   ,M,4900.00,M,M,M,M,M,M,M,M,M,M,5.25,METAR KSUX 031352Z 02007KT 10SM OVC049 M09/M13 A3042 RMK AO2 SLP321 T10891128
SUX,2005-01-03 14:52,-96.3795,42.3917,15.08,8.96,76.27,30.00,11.00,M,30.42,1032.10,10.00,M,OVC,   ,   ,M,4900.00,M,M,M,M,M,M,M,M,M,M,1.08,METAR KSUX 031452Z 03011KT 10SM OVC049 M09/M13 A3042 RMK AO2 SLP321 T10941128 50011
SUX,2005-01-03 15:52,-96.3795,42.3917,15.98,8.06,70.43,20.00,10.00,M,30.40,1031.40,10.00,M,OVC,   ,   ,M,4700.00,M,M,M,M,M,M,M,M,M,M,2.88,METAR KSUX 031552Z 02010KT 10SM OVC047 M09/M13 A3040 RMK AO2 SLP314 T10891133
SUX,2005-01-03 16:52,-96.3795,42.3917,15.98,8.96,73.34,360.00,7.00,M,30.41,1031.70,10.00,M,OVC,   ,   ,M,4300.00,M,M,M,M,M,M,M,M,M,M,5.25,METAR KSUX 031652Z 36007KT 10SM OVC043 M09/M13 A3041 RMK AO2 SLP317 T10891128
SUX,2005-01-03 17:52,-96.3795,42.3917,15.08,6.98,69.75,20.00,8.00,M,30.41,1031.70,10.00,M,OVC,   ,   ,M,4100.00,M,M,M,M,M,M,M,M,M,M,3.27,METAR KSUX 031752Z 02008KT 10SM OVC041 M09/M14 A3041 RMK AO2 SLP317 T10941139 11083 21094 56003
SUX,2005-01-03 18:52,-96.3795,42.3917,15.98,8.06,70.43,10.00,6.00,M,30.37,1030.50,10.00,M,OVC,   ,   ,M,4100.00,M,M,M,M,M,M,M,M,M,M,6.24,METAR KSUX 031852Z 01006KT 10SM OVC041 M09/M13 A3037 RMK AO2 SLP305 T10891133
SUX,2005-01-03 19:52,-96.3795,42.3917,17.06,8.96,69.99,10.00,9.00,M,30.36,1029.90,10.00,M,OVC,   ,   ,M,3900.00,M,M,M,M,M,M,M,M,M,M,4.94,METAR KSUX 031952Z 01009KT 10SM OVC039 M08/M13 A3036 RMK AO2 SLP299 T10831128
SUX,2005-01-03 20:52,-96.3795,42.3917,17.06,8.96,69.99,20.00,9.00,M,30.33,1028.90,10.00,M,OVC,   ,   ,M,4000.00,M,M,M,M,M,M,M,M,M,M,4.94,METAR KSUX 032052Z 02009KT 10SM OVC040 M08/M13 A3033 RMK AO2 SLP289 T10831128 56026
SUX,2005-01-03 21:52,-96.3795,42.3917,17.96,10.04,70.66,10.00,7.00,M,30.35,1029.80,10.00,M,OVC,   ,   ,M,3500.00,M,M,M,M,M,M,M,M,M,M,7.67,METAR KSUX 032152Z 01007KT 10SM OVC035 M08/M12 A3035 RMK AO2 SLP298 T10781122
SUX,2005-01-03 22:52,-96.3795,42.3917,17.96,10.94,73.56,20.00,8.00,M,30.36,1030.00,10.00,M,OVC,   ,   ,M,3300.00,M,M,M,M,M,M,M,M,M,M,6.82,METAR KSUX 032252Z 02008KT 10SM OVC033 M08/M12 A3036 RMK AO2 UPB15E36 SLP300 P0000 T10781117
SUX,2005-01-03 23:52,-96.3795,42.3917,19.04,12.02,73.67,10.00,6.00,M,30.36,1030.20,10.00,M,OVC,   ,   ,M,3100.00,M,M,M,M,M,M,M,M,M,M,9.92,METAR KSUX 032352Z 01006KT 10SM OVC031 M07/M11 A3036 RMK AO2 SLP302 60000 T10721111 11072 21094 51012
SUX,2005-01-04 00:52,-96.3795,42.3917,19.04,12.92,76.66,360.00,5.00,M,30.38,1030.60,10.00,M,OVC,   ,   ,M,3100.00,M,M,M,M,M,M,M,M,M,M,11.00,METAR KSUX 040052Z 36005KT 10SM OVC031 M07/M11 A3038 RMK AO2 SLP306 T10721106
SUX,2005-01-04 01:52,-96.3795,42.3917,19.04,12.92,76.66,30.00,6.00,M,30.39,1031.20,10.00,M,OVC,   ,   ,M,3100.00,M,M,M,M,M,M,M,M,M,M,9.92,METAR KSUX 040152Z 03006KT 10SM OVC031 M07/M11 A3039 RMK AO2 SLP312 T10721106
SUX,2005-01-04 02:52,-96.3795,42.3917,19.04,14.00,80.38,40.00,6.00,M,30.38,1030.80,10.00,M,BKN,OVC,   ,M,2500.00,3500.00,M,M,M,M,M,M,M,M,M,9.92,METAR KSUX 040252Z 04006KT 10SM BKN025 OVC035 M07/M10 A3038 RMK AO2 SLP308 T10721100 50005
SUX,2005-01-04 03:52,-96.3795,42.3917,19.04,12.92,76.66,30.00,6.00,M,30.39,1031.20,10.00,M,OVC,   ,   ,M,2100.00,M,M,M,M,M,M,M,M,M,M,9.92,METAR KSUX 040352Z 03006KT 10SM OVC021 M07/M11 A3039 RMK AO2 SLP312 T10721106
SUX,2005-01-04 04:52,-96.3795,42.3917,19.04,14.00,80.38,30.00,7.00,M,30.41,1031.80,10.00,M,OVC,   ,   ,M,2400.00,M,M,M,M,M,M,M,M,M,M,8.98,METAR KSUX 040452Z 03007KT 10SM OVC024 M07/M10 A3041 RMK AO2 SLP318 T10721100
SUX,2005-01-04 05:52,-96.3795,42.3917,19.04,14.00,80.38,30.00,7.00,M,30.38,1031.00,10.00,M,FEW,OVC,   ,M,1900.00,3100.00,M,M,M,M,M,M,M,M,M,8.98,METAR KSUX 040552Z 03007KT 10SM FEW019 OVC031 M07/M10 A3038 RMK AO2 SLP310 T10721100 11072 21072 410561094 50001
SUX,2005-01-04 06:52,-96.3795,42.3917,19.04,14.00,80.38,360.00,5.00,M,30.39,1031.00,10.00,M,BKN,OVC,   ,M,1300.00,1800.00,M,M,M,M,M,M,M,M,M,11.00,METAR KSUX 040652Z 36005KT 10SM BKN013 OVC018 M07/M10 A3039 RMK AO2 SLP310 T10721100
SUX,2005-01-04 07:52,-96.3795,42.3917,17.96,15.08,88.27,10.00,6.00,M,30.40,1031.30,5.00,M,BKN,OVC,   ,M,1000.00,1500.00,M,M,BR,M,M,M,M,M,M,8.62,METAR KSUX 040752Z 01006KT 5SM BR BKN010 OVC015 M08/M09 A3040 RMK AO2 CIG 008V013 SLP313 T10781094
SUX,2005-01-04 08:52,-96.3795,42.3917,17.96,14.00,84.20,10.00,7.00,M,30.41,1031.80,7.00,M,FEW,OVC,   ,M,2000.00,4500.00,M,M,M,M,M,M,M,M,M,7.67,METAR KSUX 040852Z 01007KT 7SM FEW020 OVC045 M08/M10 A3041 RMK AO2 SNB00E47 SLP318 P0000 60000 T10781100 53009
SUX,2005-01-04 09:52,-96.3795,42.3917,17.96,14.00,84.20,360.00,7.00,M,30.42,1032.10,10.00,M,OVC,   ,   ,M,2100.00,M,M,M,M,M,M,M,M,M,M,7.67,METAR KSUX 040952Z 36007KT 10SM OVC021 M08/M10 A3042 RMK AO2 SLP321 T10781100
